est	zona
AYAPEL	Cordoba
CHIMA	Cordoba
CIENAGAORO502	Cordoba
MONTELIBANO	Cordoba
MONTERIA503	Cordoba
MONTERIA502	Cordoba
MONTERIA505	Cordoba
PLANETA501	Cordoba
PLANETA519	Cordoba
RABOLARGO	Cordoba
CERETE	Cordoba
CIENAGAORO006	Cordoba
BUENOSAIRES	Cordoba
CARRILLO	Cordoba
COROZAL2	Cordoba
MONTERIA	Cordoba
SABANAL	Cordoba
TURIPANA	Cordoba
SANTONIO	Cordoba
GARZONES	Centro
AGRADO	Centro
BARAYA	Centro
CAMPOALEGRE	Centro
CAMPOALEGRE504	Centro
CAMPOALEGRE506	Centro
NEIVA	Centro
NEIVA-AIPE	Centro
PALERMO	Centro
VILLAVIEJA506	Centro
VILLAVIEJA508	Centro
AGUAZUL	Llanos
APIAY	Llanos
SANMARTIN	Llanos
TAURAMENA	Llanos
UNILLANOS	Llanos
YOPAL	Llanos
SLUISCUBARRAL	Llanos
CALIME	Llanos
ELTORO	Llanos
GUAMAL	Llanos
SANMARTIN009	Llanos
POMPEYA	Llanos
LALIBERTAD	Llanos
MONFORT	Llanos
OJOAGUA	Llanos
AVANGUARDIA	Llanos
CABAÑA.CUMARAL	Llanos
ZAPATA	Centro
PALMIRA-ICA	Centro
ABONILLA	Centro
MANUELITA	Centro
SNICOLAS	Centro
CASTILLO	Centro
TENERIFE	Centro
NOGALES	Centro
VINCULO	Centro
LAUNION	Centro
CUBARCO	Centro
FRAZADAS	Centro
ELPLACER	Centro
LASJUNTAS	Centro
PURIFICACION	Centro
SALDANA	Centro
CUNDAY	Centro
LOZANIA	Centro
HDALORENA	Centro
SUAREZ	Centro
VALLESJUAN	Centro
NATAIMA	Centro
GUAMO	Centro
CAPPICALA	Centro
CHICORAL	Centro
STAHELENA	Centro
ORTEGA	Centro
COYAIMA	Centro
FLANDES	Centro
HONDA	Centro
IBAGUE501	Centro
IBAGUE-PIEDRAS	Centro
LERIDA514	Centro
LERIDA515	Centro
MELGAR508	Centro
SALDANA-PRADO	Centro
VSANJUAN1	Centro
VENADILLO-AMBA	Centro
VENADILLO-ARMERO	Centro
POPAYAN	Centro
TOTORO	Centro
LASIERRA	Centro
TAMBO	Centro
PURACE	Centro
CURITI2	Centro
CURITI	Centro
SANGIL	Centro
SANGIL1	Centro
PINCHOTE	Centro
PINCHOTE1	Centro
MOGOTES	Centro
MOGOTES1	Centro
VILLANUEVA	Centro
BARICHARAS	Centro
PALMAR	Centro
CABRERA	Centro
ZAPATOCA	Centro
ZAPATOCA1	Centro
ZAPATOCA2	Centro
WILCHES	Centro
SABANTORRES	Centro
SABANTORRES1	Centro
SABANTORRES2	Centro
BARRANCA	Centro
BARRANCA1	Centro
